20241224	21:05:31	e80f1de0-43b8-4611-8470-d55a01dc0896	/	GET
20241224	21:07:38	4aca8212-4091-472a-9c5d-57ec2440df41	/package.json	GET
20241227	12:57:30	6eac2603-61cc-48bc-ac56-e738b166e7c7	GET	undefined	/subdir
20241227	12:57:30	87161974-882c-4c24-be45-f2cf9f53bbe3	GET	undefined	/css/style.css
20241227	12:57:36	243e2db8-f100-44b8-890a-e827f6a2d010	GET	undefined	/subdir
20241227	12:57:36	61be58f2-5972-4560-a211-3b341336a81c	GET	undefined	/css/style.css
20241227	12:57:40	7bc269af-a9f0-4e43-bf68-76e6de01a4e8	GET	undefined	/subdir
20241227	12:57:40	8f1edaa3-6a68-49ab-afd7-f476200d91d4	GET	undefined	/css/style.css
20241227	15:52:53	a62d6499-c02b-4536-9f59-ec18c584c1e7	GET	undefined	/subdir
20241227	15:53:21	1f134a06-de84-48a2-9acb-e4b51d74d0f3	GET	undefined	/subdir/kam
20241227	15:53:21	a2185271-b2cf-41ed-a4d3-574b9dd26ac6	GET	undefined	/subdir/css/style.css
20241227	15:54:40	d30c4bb0-5dd7-4b59-bd09-4783aeeedf7c	GET	undefined	/subdir/kam
20241227	15:54:40	786f75fe-3ece-4bd7-8c74-41545ba2b00d	GET	undefined	/subdir/css/style.css
20241227	15:54:45	5ae19357-c3fb-4c47-9a3c-d6fe0192dc4f	GET	undefined	/subdir
20241227	15:54:45	3f09fe1d-7b91-4712-a42f-8d3657dbc127	GET	undefined	/subdir/
20241227	15:59:28	ce41f433-6b02-4973-9545-4fb9a21f7d4e	GET	undefined	/
20241227	15:59:29	0be9a9fb-d7bd-4351-9765-ab97f6e26cd6	GET	undefined	/css/style.css
20241227	15:59:39	c70798fc-4594-4cec-9443-2cd717a69e09	GET	undefined	/new-page.html
20241227	15:59:39	0ed3b4ff-6e6f-4f66-bad5-b0c011c418ac	GET	undefined	/css/style.css
20241227	15:59:39	aa0451ae-eb36-4e3d-a6d9-5691bca6900d	GET	undefined	/img/img1.jpg
20241227	15:59:47	8f67b098-9fc8-4734-a851-7ecc836b62d9	GET	undefined	/old-page.html
20241227	15:59:47	a11f7164-3a68-4da9-b08c-795e62d9e02a	GET	undefined	/new-page.html
20241227	15:59:47	d76b2028-ab35-4c25-b203-2159a974fa82	GET	undefined	/css/style.css
20241227	15:59:47	0326a36f-959c-4168-b098-73796a5e809e	GET	undefined	/img/img1.jpg
20241227	15:59:56	832b12f9-39e1-4b6d-8dd5-0f2a170ebdb2	GET	undefined	/index.html
20241227	15:59:56	f20c4bbc-2264-4494-a3f2-665ced059a0b	GET	undefined	/css/style.css
20241227	16:00:25	82bddf2c-0bf5-4e82-ad7b-401796ad87e5	GET	undefined	/index.html
20241227	16:00:25	e02ebefe-215a-4ad1-a206-00da8ee3221a	GET	undefined	/css/style.css
20241227	16:00:30	7eeefe4a-c816-4a0d-a744-5c982fd38856	GET	undefined	/new-page.html
20241227	16:00:30	4a967491-ccc3-436f-a88f-2f6c980b9b30	GET	undefined	/css/style.css
20241227	16:00:30	a5d93541-b8d6-4ae3-adf0-0f54917b4ed5	GET	undefined	/img/img1.jpg
20241227	16:00:34	6e18c628-4b87-4fbd-9267-516314f3dfc8	GET	undefined	/new-page.html
20241227	16:00:34	9ae24dc1-ec29-42d2-af87-7aea7aa5b561	GET	undefined	/img/img1.jpg
20241227	16:00:34	d0898cbe-7d95-4f03-a0dc-50441761d943	GET	undefined	/css/style.css
20241227	16:17:48	e0efac29-309d-46be-acb7-c8b22d8cd478	GET	undefined	/employees
20241227	16:18:29	3a10303d-85fa-43df-b6f5-91557fd2d209	POST	undefined	/employees
20241227	16:19:36	777796aa-63f6-4d55-9fa2-32c0312952bc	POST	undefined	/employees
20241227	16:20:32	2e81e82b-f531-4493-97dc-e560fa9354f3	PUT	undefined	/employees
20241227	16:21:20	d166b592-c879-44c9-a892-57b9903c07d7	GET	undefined	/employees/1
20241227	17:24:23	06677c90-ba9e-420a-a869-78f14affd442	GET	undefined	/employees
20241227	17:24:31	8beaaa30-b469-4447-b7d9-4174d05099c7	GET	undefined	/employees
20241227	17:24:45	0a9e1a73-e486-4c27-8bb5-82ccc453719e	GET	undefined	/employees
20241227	17:26:16	eb1d1699-5625-4db8-af3e-019dfad5cd35	GET	undefined	/api/employees
20241227	17:26:21	213811c8-a591-457b-8d42-b6a265671429	GET	undefined	/employees
20241227	17:27:12	736e5a47-ba28-49de-bbc2-388f0e9b67cc	GET	undefined	/employees
20241227	17:27:15	d7a326a2-dca1-489d-a214-ea8df26ad026	GET	undefined	/employees
20241227	17:28:40	e4c9eae9-fc65-49c1-86c6-2429139c2079	GET	undefined	/employees
20241227	17:29:47	e6d17faa-7927-4bb6-bc04-c40353d8beb2	POST	undefined	/employees
20241227	17:30:37	6b8ee490-e576-4063-872d-51d6d171482f	POST	undefined	/employees
20241227	17:30:47	2bcf8e95-1141-432f-8afa-522b31234315	GET	undefined	/employees
20241227	17:30:59	ffba64f0-83fc-490b-80ad-d07901c6c001	GET	undefined	/employees
20241227	17:31:14	d96e18c1-4278-491e-91c3-fd03e12e70f9	GET	undefined	/employees
20241227	17:31:29	f3627133-93de-44d5-afeb-67197948ca74	POST	undefined	/employees
20241227	17:31:42	0d18308f-b9e4-48e7-9464-977b72172beb	GET	undefined	/employees
20241227	17:32:32	f9b29bc0-ddc4-4bb7-a8e6-b6e5fb579c11	PUT	undefined	/employees
20241227	17:32:38	99bdaa7e-a273-49b0-9cbe-1c21fd02d446	PUT	undefined	/employees
20241227	17:32:49	1f5e32ee-791f-462e-866e-d67a48bc4d55	DELETE	undefined	/employees
20241227	17:32:57	0b54c84c-c112-4657-b712-db803933d551	DELETE	undefined	/employees
20241227	17:33:02	93b2b050-8994-4a4e-9a7a-b1e6409c6d7f	DELETE	undefined	/employees
20241227	17:34:03	2315917a-6ddc-4656-b4e5-d32930f6576e	DELETE	undefined	/employees
20241227	17:34:58	e381b0fd-d287-436b-ad6b-80aec13642c3	DELETE	undefined	/employees
20241227	17:35:06	f3a6807b-b1a0-46bc-8e1d-eafe0df40cc1	DELETE	undefined	/employees
20241227	17:35:13	45c19c16-c54c-4e07-bf8d-27ce8cf38481	DELETE	undefined	/employees
20241227	17:35:59	80969da7-6108-4846-b402-e6904635e9d7	POST	undefined	/employees
20241227	17:36:09	c209f394-1cd4-48ec-83be-ec0ff16dba28	POST	undefined	/employees
20241227	17:36:19	93d76bfc-99b7-4699-860b-2d88013dc239	POST	undefined	/employees
20241227	17:36:30	0b837346-cb4a-4cea-a210-da02d5dbc756	PUT	undefined	/employees
20241227	17:36:35	c56c9273-de4d-4f83-b71f-b4be834889c6	POST	undefined	/employees
20241227	17:36:48	0dfaaed9-bb1e-4290-a2ed-5973cd77d5dd	GET	undefined	/employees
20241227	17:36:52	1d71fe7b-5fbd-4ba6-bab6-0d7579ad9235	POST	undefined	/employees
20241227	17:37:38	b40ce206-95ef-4569-81e5-4896735b1318	POST	undefined	/employees
20241227	17:37:47	afea5dec-11e2-4598-81df-a388ced47aa3	GET	undefined	/employees
20241227	17:37:52	d192ee3a-952a-4911-bad2-df562e9407ad	GET	undefined	/employees
20241227	17:38:01	1b198ca1-1f60-4881-90c0-9036cb69b401	POST	undefined	/employees
20241227	17:38:07	20bcf2a7-3d12-484b-bfc9-8c77e309751a	POST	undefined	/employees
20241227	17:39:55	5aa978fa-0342-4297-96f5-709a7774329a	POST	undefined	/employees
20241227	17:40:26	c0c5f1c7-9887-4342-80a0-490dd8843525	POST	undefined	/employees
20241227	17:40:54	a0639995-ca96-419b-95ae-152919b4a568	POST	undefined	/employees
20241227	17:41:09	c55c871d-c4e4-4acb-9cbd-aee53b68d150	POST	undefined	/employees
20241227	17:41:35	bb25e6a8-d741-494b-aafa-637334bce617	DELETE	undefined	/employees
20241227	17:41:49	b7025d09-9680-464d-8001-e14056448e76	DELETE	undefined	/employees
20241227	17:42:24	78be5209-946d-4329-b52e-2276748ac895	POST	undefined	/employees
20241227	17:42:44	b974e458-3b0c-4b61-a9b7-aa2428420227	GET	undefined	/employees/3
20241227	17:42:52	115dc48c-dab1-43e4-ba34-bc7a09574246	GET	undefined	/employees/3
20241227	17:43:02	78c088c2-d40a-4e65-9677-79ce41ebfd44	GET	undefined	/employees/1
20241227	17:43:45	0ddf2af9-2a09-4b01-9740-c47abf97adaa	GET	undefined	/employees
20241227	17:44:51	5c53bb32-887f-4f6d-84db-900a25b47122	GET	undefined	/employees
20241227	17:44:55	b1998664-89af-4c21-b18a-61e233526e03	GET	undefined	/employees/2
20241227	17:45:14	75980fa6-f1d0-4736-9088-1402c7c292a3	GET	undefined	/employees/2
20241227	17:49:14	31ef01b1-b839-4da9-81ef-b31704cbc3dd	GET	undefined	/employees/2
20241227	17:49:20	26f60ddc-b639-44c4-b097-1ac643f7da30	GET	undefined	/employees/1
20241227	17:49:24	c51feb05-d481-4bef-a543-3416c1b31bf9	GET	undefined	/employees/
20241227	17:49:52	e4ae1c41-7f12-461f-a909-42a7e5395999	GET	undefined	/employees/2
20241227	17:50:09	b944eb3a-23d5-4c8d-a8ab-cdc4ecd9106e	GET	undefined	/employees/2
20241227	17:50:33	05070c18-b481-4d65-a5ba-e77cc5c2c594	GET	undefined	/employees/2
20241227	17:50:45	c45c6d13-970b-4c54-a5be-1532c6e500d1	GET	undefined	/employees/2
20241227	17:50:48	43d14dc8-95af-493b-bacf-548d123ac25c	POST	undefined	/employees/2
20241227	17:50:51	f050761a-a74d-4bd1-93dd-5a7fb95d6678	GET	undefined	/employees/2
20241227	17:50:56	d53d0fe0-30e9-48cd-a74c-27f1638551e4	GET	undefined	/employees/2
20241228	15:22:53	5ea68c8b-437c-4676-aaf4-7bf75cf8ade0	POST	undefined	/register
20241228	15:26:02	2603ab36-a17a-4a04-9d3f-4c4253c938cf	POST	undefined	/register
20241228	15:37:03	2bdd683b-ff0d-47f5-a588-1d071e4e6a99	POST	undefined	/auth
20241228	15:37:18	b14f06c2-051d-440b-a38e-1990d4ff1656	POST	undefined	/auth
20241228	15:38:30	deaa6c41-79d0-4ab3-9235-59b10308999f	POST	undefined	/auth
20241228	15:38:35	3df0bc8c-ce88-4908-baa7-47bac1cde2a7	POST	undefined	/auth
20241228	15:38:44	26d43c15-4d5d-470f-a00c-a9a1317e1917	POST	undefined	/register
20241229	17:24:01	7b0b0f62-c062-4a52-af52-bca3acecca16	POST	undefined	/auth
20241229	17:24:12	9f10b4f2-85a0-4ba5-8b8e-dda4ef15b0f6	POST	undefined	/auth
20241229	17:24:26	b69708f3-94f6-49e5-b1a5-eb15afa1810b	POST	undefined	/auth
20241229	17:24:30	18a2e60a-e079-4ad4-bafa-821040980a65	POST	undefined	/
20241229	17:24:37	af823000-742c-4b0e-b904-45e4684c8045	POST	undefined	/
20241229	17:24:53	2571bdaf-4c4a-4143-887b-bbf7f7dcf76c	POST	undefined	/
20241229	17:24:59	57a8a7c1-edf4-4bf6-bd6c-1c69de4f6721	POST	undefined	/employees
20241229	17:25:18	7e8db5a0-1f83-49d2-b3c8-149f65e2cdc7	POST	undefined	/auth
20241229	17:26:44	71be877a-e99d-4df3-812c-886d8644d361	POST	undefined	/auth
20241229	17:28:03	fb9a5a76-ea0e-4b34-9b7d-eaf9f0e44ce5	POST	undefined	/register
20241229	17:28:14	5669714b-f438-4e0b-8224-66c12276dd3d	POST	undefined	/register
20241229	17:28:19	1b7e0c0f-2320-4274-9b02-458728a1924c	POST	undefined	/auth
20241229	17:31:51	80ca4f05-a073-4aee-9a40-183645cad587	POST	undefined	/auth
20241229	17:31:55	a1a991ae-96ce-4617-abc8-aae055486932	POST	undefined	/auth
20241229	17:32:31	1f69d82f-d4cc-4400-92a6-f510245bf242	POST	undefined	/auth
20241229	17:33:18	62ca8aca-30ce-4852-a0ba-53956c25d582	GET	undefined	/employees
20241229	17:34:01	231de83c-b338-4124-a20b-15cd4195235b	POST	undefined	/auth
20241229	17:34:20	32fa2d3c-7e26-4cf4-841b-9e2360967931	GET	undefined	/employees
20241229	17:37:21	e994b8b6-659d-4d13-8f4c-b8eb404662fe	POST	undefined	/auth
20241229	17:37:39	55f89365-adda-48c0-a51d-c988e671bcdd	GET	undefined	/employees
20241229	17:37:52	40687c25-1d22-4377-a332-5a0a9ee06f6c	GET	undefined	/employees
20241229	17:38:23	254e63ee-3e6e-4f9c-b4e4-8b844016a339	POST	undefined	/employees
20241229	17:50:47	2d0f2e85-7bc1-4db5-abe8-f8ca816ceadc	POST	undefined	/auth
20241229	17:51:41	c2bb17f0-527b-4fa0-89d8-df7c4d866f38	POST	undefined	/refresh
20241229	17:51:50	6bd0c23c-1f88-4c42-910a-0ae13605e95d	POST	undefined	/auth
20241229	17:51:55	aa717ade-07d6-47a2-8ef2-31141c18defa	POST	undefined	/refresh
20241229	17:52:13	670bf170-b76e-4c42-a2e7-3685ab536aed	GET	undefined	/refresh
20241229	17:52:26	95ed0421-cc79-4221-bc73-0d021e5257fe	GET	undefined	/refresh
20241229	17:52:27	4572398b-8691-45ee-9fcd-751b47da6deb	GET	undefined	/refresh
20241229	17:52:27	0fde1da7-d541-4ca3-a083-d5a649685767	GET	undefined	/refresh
20241229	17:52:27	ac25749d-9ed7-4056-b380-cccae5a737db	GET	undefined	/refresh
20241229	17:52:27	1670473c-cccc-4060-bced-cda276e1ea0a	GET	undefined	/refresh
20241229	17:52:28	b0898942-61df-41fe-9614-a588f969e60a	GET	undefined	/refresh
20241229	17:52:28	c83c0300-d358-4437-9847-e54a3455c4b7	GET	undefined	/refresh
20241229	17:52:28	531fa3f4-74ae-434c-aa97-0054499bf36a	GET	undefined	/refresh
20241229	17:52:28	40d9e558-dcf1-48f8-8354-979f06e545e1	GET	undefined	/refresh
20241229	17:52:28	4fc0e379-b017-4e04-a35d-96c0c748493d	GET	undefined	/refresh
20241229	17:52:29	2b3b1261-6b14-412c-b6e0-91f21b9f9918	GET	undefined	/refresh
20241229	17:52:29	00b054f2-544e-4602-b942-81e302fd48c6	GET	undefined	/refresh
20241229	17:52:35	245537b2-6476-4056-8317-e2f988e09e45	GET	undefined	/refresh
20241229	17:52:36	1f16824d-6885-4c8f-86fd-72050b45323c	GET	undefined	/refresh
20241229	17:52:37	f6157ec3-5376-404b-a108-0ffb60b0000a	GET	undefined	/refresh
20241229	17:53:20	41164fd4-4826-4e61-8899-728025806ebe	POST	undefined	/auth
20241229	17:53:26	1a64c036-3d1b-445d-954c-5ae8b62ab85d	GET	undefined	/refresh
20241229	18:45:38	d7a0636f-f33f-43bf-abd6-fcef595303ce	POST	undefined	/auth
20241229	18:45:58	4162df8a-a422-46ae-912a-eb66a41db01d	GET	undefined	/logout
20241229	18:48:05	65c2990f-397d-478a-be38-b5ff6bd4791e	POST	undefined	/auth
20241229	18:48:15	02f0ab03-0f49-4699-8987-a9427c0e311e	GET	undefined	/logout
20241229	18:48:24	63801eff-bbfd-4059-aa15-277ceb517909	GET	undefined	/users
20241229	18:48:29	6f46bad1-9207-496a-b4b3-eab9acb15405	GET	undefined	/users
20241229	18:48:31	56816ca2-0696-4fb0-9954-2449cf86a362	GET	undefined	/user
20241229	18:48:59	8d033926-a042-4c2b-af0c-2bea36951de2	GET	undefined	/logout
20241229	18:49:11	98349710-fe0b-4c3b-943a-ccfa4f6eda76	GET	undefined	/refresh
20241229	18:50:08	2b1db097-a375-4279-8180-c60a8804429c	GET	undefined	/auth
20241229	18:50:10	72171089-9215-4cd5-a088-6a27c0cbbab0	POST	undefined	/auth
20241229	18:50:19	8ed96def-1999-41cb-b373-5589f828e0dd	GET	undefined	/refresh
20241229	18:50:25	22de5cce-41dd-4510-8336-3af3b5690eef	GET	undefined	/logout
20241229	18:50:29	c30d6914-1833-4eb8-849c-abd9d5acd64e	GET	undefined	/refresh
20241229	18:50:43	f1867f1e-465d-4724-82c1-bb7d50e6ba0a	POST	undefined	/auth
20241230	16:47:27	48938ede-e205-40c6-8d19-c9dbabf73289	POST	undefined	/register
20241230	16:53:43	9a79658b-5fd2-4700-9ca9-f64cbe41c6ab	POST	undefined	/register
20241230	16:56:06	2d737d66-d6e0-45e8-906d-a21f1bf580e1	POST	undefined	/register
20241230	16:57:35	59b78502-edf4-494b-9134-cac7517ccef6	POST	undefined	/register
20241230	16:58:39	35f5ee9c-0618-4d32-aa9e-073fb7c1fc15	POST	undefined	/register
20241230	16:58:46	4044a436-12f7-415b-82aa-0ee2f528922f	POST	undefined	/auth
20241230	16:59:45	3348d526-963f-4859-82ca-b43c60febed6	POST	undefined	/register
20241230	17:00:36	1ce66167-09c4-48a7-85be-308b8ebc7488	POST	undefined	/auth
20241230	17:00:48	f67f75c6-8ef6-4451-982d-b685a30034cf	POST	undefined	/auth
20241230	17:01:17	61d2b58e-e653-4999-98f5-c7a2363daed7	POST	undefined	/auth
20241230	17:01:26	073f3b07-4d5b-4907-80b3-87939ae4220c	POST	undefined	/auth
20241230	17:30:54	4e152028-d55e-47f0-a8d4-5740048a25e2	POST	undefined	/auth
20241230	17:31:10	5b687e77-c1a5-4c2b-8e70-074639030d5f	GET	undefined	/employees
20241230	17:31:16	f39050f8-6d6c-4916-b21c-d7901ccfd35c	GET	undefined	/employees
20241230	17:31:51	fac47d60-a493-493b-9552-8343a3dd624b	GET	undefined	/employees
20241230	17:32:02	3d37ad80-8d5f-427e-bf22-05be032fe542	GET	undefined	/refresh
20241230	17:32:05	0b1f638c-32ef-48ec-adb0-c3537692acb0	GET	undefined	/refresh
20241230	17:32:16	b9ac1d5f-9215-4928-bbe9-25dc473428ae	GET	undefined	/employees
20241230	17:32:21	73c5bda1-0f16-47f2-a10e-4b1bbe7ec578	GET	undefined	/employees
20241230	17:32:25	c3a2167d-f7ea-4add-af46-14d4457900c6	GET	undefined	/employees/1
20241230	17:32:29	125933d9-b09e-40bf-aeed-8119977bede5	GET	undefined	/employees/1
20241230	17:32:33	d7278b06-e4ed-4122-ae9e-f1e9d49af794	GET	undefined	/employees/1
20241230	17:33:30	6a5d387e-e6c6-4f51-9d2f-f12b8f631322	POST	undefined	/auth
20241230	17:33:44	3f0b3b50-e0b0-4b12-8d0f-e5a189858560	GET	undefined	/employees
20241230	17:33:51	85ba3314-7612-4fd4-8d3f-a92c4747a24c	GET	undefined	/employees
20241230	17:33:58	c91b3a46-bd08-4641-861c-318f501ec9bd	POST	undefined	/employees
20241230	17:34:50	58b9c554-3d21-41f6-9a07-f7c5a3a62eac	GET	undefined	/refresh
20241230	17:35:16	1e9f6a2b-aaf4-4a70-a02e-9350d609a170	DELETE	undefined	/employees
20241230	17:36:30	d121f96e-fbc7-433e-924b-2eda69abb56c	GET	undefined	/refresh
20241230	17:36:39	151bffdf-7bb0-465b-8b71-8e1bb8c6e13b	DELETE	undefined	/employees
20241230	17:36:57	022bb683-d91f-40d4-90c7-f7b61206621d	DELETE	undefined	/employees
20241230	17:37:10	fd7a41ab-7f30-4c93-aff1-ef71cb67521d	GET	undefined	/auth
20241230	17:37:15	edd2b2e1-42cc-46ef-96ff-02c439221d64	POST	undefined	/auth
20241230	17:37:24	e706f13c-933c-494f-9950-3c0f26234067	DELETE	undefined	/employees
20241230	17:37:52	5f4e9103-1235-4a41-a94b-1cba0b7d6d10	POST	undefined	/auth
20241230	17:38:02	98ea7631-400a-454d-bc35-d1644723598a	DELETE	undefined	/employees
20241231	15:43:46	9da7e9fe-1f4c-4c9e-be24-be3aebe9ca7a	POST	undefined	/register
20241231	15:44:35	f256556f-626b-43d1-a5ac-c3e1df0865e8	POST	undefined	/register
20241231	15:46:45	5324caa1-5704-4250-b04c-81d2ffebe106	POST	undefined	/register
20241231	15:50:38	951fac38-8245-4dd1-bd10-ee5d182c3eb8	POST	undefined	/register
20241231	15:59:05	93bbcca0-b978-4506-aa21-3845af65aa5b	POST	undefined	/register
20241231	15:59:15	ee9d38a6-ac3a-4630-9046-e45904e00ad1	POST	undefined	/register
20241231	15:59:30	79a19517-26f8-4255-8807-febf275db707	GET	undefined	/users
20241231	15:59:35	a8de2efb-4c43-4ade-83b9-661fb79b3dc3	GET	undefined	/user
20241231	16:00:28	2c9182c2-5225-446e-8f68-4a195bd5ca18	GET	undefined	/refresh
20241231	16:00:32	60b79bd9-2357-489f-84f4-69f3edd6e786	POST	undefined	/refresh
20241231	16:00:35	e3f03592-942d-4bcb-93ed-ffee71cbe4e4	GET	undefined	/refresh
20241231	16:01:02	6224687a-8d44-4aea-a4a4-14be220b3c0c	GET	undefined	/auth
20241231	16:01:11	525e80d6-97c0-4c6d-8948-ec66e46c8bb0	GET	undefined	/auth
20241231	16:01:19	e3bb6e26-e7eb-49a5-895c-2f9c67ccb3d0	POST	undefined	/auth
20241231	16:01:36	71b7d384-571b-4f4d-958a-d8e5555fcb9e	GET	undefined	/users
20241231	16:01:40	dfa3c498-c82a-4b8c-bdcc-f483dee77d86	GET	undefined	/users
20241231	16:01:44	471a2718-8685-412b-ae50-55f1ee7d293d	GET	undefined	/users
20241231	16:01:46	0043c86a-e45f-4a59-b92d-edc176d17f07	GET	undefined	/user
20241231	16:01:52	5a672e34-70d6-42c9-b4ce-10876e9455a3	GET	undefined	/employee
20241231	16:01:54	5ca8d359-fa01-4a3c-a952-8b593b913774	GET	undefined	/employees
20241231	16:02:11	4eb2a503-d018-418e-9584-71df31e33fec	POST	undefined	/auth
20241231	16:03:12	83e69a1e-aae5-4a1f-a93e-347f7ed165ba	POST	undefined	/register
20241231	16:03:16	cf61da0e-20ea-4d1e-9e5c-3914ff65af26	GET	undefined	/register
20241231	16:03:25	cd7d1ce7-763a-43e3-8b36-1f32876c0391	POST	undefined	/register
20241231	16:12:54	44ccb614-27dd-4b20-ae35-e4771bade6a8	POST	undefined	/register
20250103	22:21:45	039d2e42-bd83-44f1-8ea2-50b5b834cc23	POST	undefined	/register
20250103	22:22:00	e31d0e29-05a4-44ad-925f-b8ad06a970a5	POST	undefined	/register
20250103	22:22:32	c015ba3e-906e-4a42-a6e1-86881f2bff05	POST	undefined	/auth
20250103	22:24:28	25aa51e1-84eb-4ff3-b184-478966393647	POST	undefined	/auth
20250103	22:24:42	73caccb6-faf1-495b-a525-76db8777db2e	GET	undefined	/refresh
20250103	22:25:07	5ca38270-b59d-4f3e-b474-fe77b39d6664	POST	undefined	/auth
20250103	22:25:23	cbc1f9e8-644d-4ac7-93fa-045f98d6b794	GET	undefined	/logout
20250103	22:50:30	5a93f9ad-f09a-4ace-9d97-a16c616d80a0	POST	undefined	/auth
20250103	22:50:49	499feaae-ef56-444e-9843-cd166b76b9f1	GET	undefined	/employees
20250103	22:50:59	0df12250-acd2-44dc-aaec-1f119038556b	GET	undefined	/employees
20250103	22:52:47	64c50de3-d44a-4a59-9378-cfe407018e44	GET	undefined	/employees
20250103	22:52:51	50a4bbfb-35be-4ee2-bba4-f65f5740f71a	POST	undefined	/auth
20250103	22:53:02	6dc11b31-d395-4994-a4a8-a496825c6250	GET	undefined	/employees
20250103	22:53:15	d3712630-d5f2-4708-99ad-dbaba5fc9720	POST	undefined	/employees
20250103	22:53:18	c445e2f9-a359-4b30-ac23-108a6f0f9eb7	GET	undefined	/employees
20250103	22:55:23	83cacc72-cc78-42f5-a529-62d2a95c90dd	POST	undefined	/auth
20250103	22:55:28	03195efb-f4d7-4935-a288-4e83e2cee45a	POST	undefined	/auth
20250103	22:55:36	cae39178-df2b-4011-8f5f-453d5f6bae06	POST	undefined	/auth
20250103	22:55:40	d35b9ee0-9639-4b6a-a9ec-479282d23b3d	POST	undefined	/auth
20250103	22:56:38	4c5e06f9-d789-45f3-939e-afe31d6b7cf8	POST	undefined	/auth
20250103	22:56:48	638a4bb1-d8c8-4762-be79-4e1ac32f1a72	GET	undefined	/employees
20250103	22:56:55	ce2e23a8-59dc-4007-b095-691f0f594d7e	POST	undefined	/employees
20250103	22:57:24	e9f47788-d0d4-4b48-a29b-7e8d78a16a5e	POST	undefined	/employees
20250103	22:57:35	a6836b62-bab8-4dfa-a5f6-9c8f63fc3fce	POST	undefined	/auth
20250103	22:57:45	e2d3f2b3-5818-4bab-b97a-f736d7e12aab	POST	undefined	/employees
20250103	22:57:53	1a7c04a8-f30d-4c0c-96a2-f24482768d9c	POST	undefined	/employees
20250103	22:58:53	0d94d64c-30de-4dd6-9e8a-e20309bc8a40	POST	undefined	/auth
20250103	22:59:04	bd793d49-49b6-4531-b9a4-9f1b2aced69e	POST	undefined	/employees
20250103	22:59:15	7cf29de0-377f-4f72-8a00-80da72368282	GET	undefined	/employees
20250103	23:00:51	0ad32a89-1361-43e1-86dd-df63bc12f09f	POST	undefined	/auth
20250103	23:01:02	188cfe7f-bf40-437e-bbaa-2f04133a33a2	GET	undefined	/employees
20250103	23:01:38	de8300ce-e7f2-4c3f-a118-09b34fd9595b	POST	undefined	/auth
20250103	23:02:27	7eb0fb8d-1789-42c9-88e2-ba579cd20855	GET	undefined	/employee/6778b2082be70e28b40271dc20250103
20250103	23:02:39	5bfd3ff6-44bd-4999-82ec-9279a882b11a	POST	undefined	/auth
